max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant
86,19.4,0.0,2017-05-09T00:00:00,0.25,2017,123,0.0773999691009521,18.4,0.0207,ozone
81,19.4,0.0,2017-05-10T00:00:00,0.25,2017,128,0.0786999464035034,18.8,0.0086,ozone
82,21.4,0.0,2017-09-20T00:00:00,1.0,2017,53,0.0383999906480312,12.9,0.0206,pm25
88,23.4,0.0,2017-09-16T00:00:00,1.0,2017,85,0.0653999447822571,19.9,0.0173,ozone
78,25.4,0.0,2017-08-26T00:00:00,1.0,2017,200,0.103599965572357,21.2,0.0222,ozone
63,25.4,1.5,2017-07-21T00:00:00,1.0,2017,91,0.0611999966204166,31.0,0.0149,pm25
86,25.4,0.0,2017-09-10T00:00:00,1.0,2017,125,0.0777999758720398,21.7,0.0156,ozone
60,25.4,1.5,2017-07-04T00:00:00,1.0,2017,201,0.0884999632835388,85.0,0.0121,ozone
76,25.4,1.5,2017-07-03T00:00:00,1.0,2017,145,0.0834999680519104,22.5,0.0161,ozone
62,25.4,2.6,2017-07-01T00:00:00,1.0,2017,87,0.0659999847412109,15.1,0.0079,ozone
73,26.4,0.0,2017-08-05T00:00:00,1.0,2017,147,0.0841999650001526,25.6,0.0151,ozone
52,26.4,0.0,2017-08-01T00:00:00,1.0,2017,71,0.109299957752228,21.5,0.0209,pm25
66,27.4,1.5,2017-06-21T00:00:00,1.0,2017,145,0.0836999416351318,24.8,0.0146,ozone
97,16.9,1.5,2017-11-17T00:00:00,0.75,2017,51,0.038699995726347,12.1,0.0185,pm25
87,16.9,0.0,2017-10-18T00:00:00,0.75,2017,201,0.0892999768257141,46.1,0.0707,ozone
68,16.9,1.5,2017-04-23T00:00:00,0.25,2017,60,0.0578000023961067,9.0,0.0032,ozone
96,16.9,0.0,2017-04-22T00:00:00,0.25,2017,115,0.0748999714851379,19.5,0.0187,ozone
82,16.9,0.0,2017-04-30T00:00:00,0.25,2017,99,0.0702999830245972,11.3,0.0175,ozone
81,17.9,0.0,2017-04-06T00:00:00,0.25,2017,66,0.0573999918997288,19.4,0.0312,pm25
82,17.9,0.0,2017-10-10T00:00:00,0.75,2017,83,0.0596000030636787,27.2,0.0711,pm25
92,18.9,0.0,2017-10-28T00:00:00,0.75,2017,201,0.0900999903678894,21.6,0.0471,ozone
71,18.9,0.0,2017-10-03T00:00:00,0.75,2017,56,0.0493000000715256,14.4,0.0334,pm25
80,19.9,0.0,2017-06-02T00:00:00,0.25,2017,80,0.0637999773025513,12.3,0.0125,ozone
45,19.9,0.0,2017-06-05T00:00:00,0.25,2017,53,0.0553000010550022,13.1,0.0141,pm25
65,20.9,0.0,2017-06-16T00:00:00,0.25,2017,145,0.0834999680519104,16.0,0.0107,ozone
81,22.9,0.0,2017-09-17T00:00:00,1.0,2017,93,0.067799985408783,26.3,0.0132,ozone
73,24.9,0.0,2017-07-14T00:00:00,1.0,2017,135,0.0807999968528748,21.1,0.019,ozone
80,24.9,1.5,2017-08-16T00:00:00,1.0,2017,80,0.0591000057756901,25.8,0.0191,pm25
68,24.9,0.0,2017-07-13T00:00:00,1.0,2017,132,0.0798999667167664,22.0,0.0194,ozone
67,24.9,0.0,2017-07-16T00:00:00,1.0,2017,145,0.0834999680519104,17.3,0.0138,ozone
84,24.9,1.5,2017-09-13T00:00:00,1.0,2017,72,0.0613999925553799,14.1,0.0127,ozone
66,24.9,0.0,2017-07-12T00:00:00,1.0,2017,113,0.0744999647140503,17.7,0.0155,ozone
82,25.9,1.5,2017-08-10T00:00:00,1.0,2017,108,0.0728999376296997,21.8,0.0106,ozone
79,25.9,0.0,2017-07-23T00:00:00,1.0,2017,200,0.104599952697754,19.8,0.0164,ozone
75,25.9,0.0,2017-08-09T00:00:00,1.0,2017,103,0.0715999603271484,24.8,0.0133,ozone
72,25.9,0.0,2017-08-29T00:00:00,1.0,2017,200,0.103299975395203,30.9,0.0424,ozone
87,26.9,1.5,2017-09-08T00:00:00,1.0,2017,77,0.061999998986721,24.5,0.0102,pm25
50,26.9,0.0,2017-08-03T00:00:00,1.0,2017,200,0.100799977779388,24.4,0.0217,ozone
