date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi,max_dp,min_dp,max_bar_press,min_bar_press,max_oTemp,min_oTemp
2012-04-05T00:00:00,4,2012,0.25,53,86,1007.9,1003.9,3996357.1199999577,0.57,0.57,14.4,8.2,3.1,0.008,0.0489999987185001,9.0,ozone,45,1.35555,-9.72224,1007.92,1003.92,15.6,2.7
2012-06-05T00:00:00,6,2012,0.25,89,86,1007.9,1002.57,4888903.6800003191,0.82,0.82,22.1,9.3,5.7,0.005,0.0509999990463257,7.0,ozone,47,7.02778,-0.427786,1007.92,1002.59,20.9,8.3
2015-03-20T00:00:00,3,2015,0.25,101,78,1007.9,1005.23,2653516.7999999626,0.51,0.51,16.3,6.2,0.0,0.038,0.0709999799728394,30.0,ozone,101,-1.87779,-9.8389,1007.39,1005.26,25.9,7.4
2017-03-11T00:00:00,3,2017,0.0,86,100,1007.9,1004.57,3011339.5199999181,0.51,0.51,14.3,4.1,0.0,0.0305,0.0591999962925911,35.9,pm25,102,6.01111,-6.98335,1007.92,1004.59,24.4,8.9
2012-03-15T00:00:00,3,2012,0.0,43,89,1007.9,1003.9,2942991.3599999254,0.51,0.51,13.7,6.2,0.0,0.015,0.044999998062849,16.0,pm25,59,6.35,1.1111,1007.92,1003.92,22.4,10.3
2015-08-30T00:00:00,8,2015,1.0,102,64,1007.9,1002.57,3899865.6000001156,0.76,0.76,23.0,8.2,3.6,0.005,0.0499999970197678,32.0,pm25,93,9.45555,5.63889,1007.92,1002.59,30.5,14.4
2012-11-14T00:00:00,11,2012,0.75,112,95,1007.9,1003.9,1957973.7600000447,0.35,0.35,14.7,2.1,0.0,0.11,0.0429999977350235,48.0,pm25,132,-2.64445,-10.7056,1007.92,1003.92,20.1,3.9
2015-03-29T00:00:00,3,2015,0.25,76,76,1007.9,1002.57,3743066.8800002271,0.64,0.64,16.5,4.6,0.0,0.026,0.0739999413490295,28.0,ozone,111,10.4944,0.211103,1007.26,1002.99,29.2,9.3
2012-04-17T00:00:00,4,2012,0.25,84,92,1007.9,1002.57,4064705.2799996557,0.64,0.64,14.5,5.7,0.0,0.021,0.062999963760376,18.0,ozone,77,8.88889,-6.11668,1007.92,1002.59,25.3,9.3
2012-01-11T00:00:00,1,2012,0.0,154,87,1007.9,1003.9,1479536.6400000132,0.29,0.29,10.2,2.1,0.0,0.114,0.0369999967515469,76.0,pm25,162,-5.04446,-10.9778,1007.92,1003.92,16.9,-0.9
