date,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_ws_93612,max_wss_93612,max_wd_93612,max_wds_93612,min_wd_93612,min_wds_93612,nox,pm25,ozone,aqi
2013-02-26T00:00:00,100,1009.23,1005.23,2794233.599999994,0.48,0.0,10.5,2.682,3.129,349,352.0,10,10.0,0.096,47.0,0.0439999997615814,129
2013-10-01T00:00:00,100,999.9,997.234,3007319.0400000489,0.54,0.0,20.6,3.129,3.129,346,347.0,277,277.0,0.021,11.0,0.0479999966919422,46
2013-05-02T00:00:00,79,1007.9,1003.9,4434589.4399997583,0.8,0.0,17.4,3.129,3.129,330,323.0,82,82.0,0.023,29.0,0.090999960899353,201
2013-02-28T00:00:00,95,1015.9,1013.23,2834438.4000000576,0.56,0.0,11.4,3.129,3.129,346,347.0,24,26.0,0.059,30.0,0.0559999980032444,89
2013-05-29T00:00:00,95,998.567,994.567,4659736.3200001121,0.81,0.0,20.4,5.811,6.258,328,330.0,293,292.0,0.013,17.0,0.0659999847412109,87
2013-09-24T00:00:00,100,999.9,994.567,3353080.3199998392,0.57,0.0,22.1,6.258,6.258,320,320.0,57,56.0,0.03,26.0,0.0819999575614929,139
2013-01-27T00:00:00,99,1006.57,1002.57,1764990.720000006,0.32,0.0,11.2,6.258,6.258,340,342.0,275,257.0,0.015,8.0,0.0399999991059303,37
2013-10-27T00:00:00,99,1001.23,990.568,2275591.6799999541,0.42,0.0,18.2,6.258,6.258,346,351.0,2,4.0,0.038,44.0,0.0889999866485596,201
2013-08-03T00:00:00,89,998.567,995.9,4555203.8399997381,0.8,0.0,25.6,2.682,2.682,323,323.0,17,11.0,0.024,21.0,0.0859999656677246,201
2013-10-05T00:00:00,85,1007.9,1003.9,3144015.3599998639,0.56,0.0,19.4,2.235,2.682,328,329.0,9,9.0,0.053,24.0,0.0649999976158142,84
2013-12-04T00:00:00,100,1002.57,995.9,1732826.8800000225,0.23,0.0,12.1,2.682,2.682,359,352.0,6,5.0,0.098,38.0,0.0249999985098839,107
2013-09-19T00:00:00,88,995.9,990.568,3538022.4000001214,0.62,0.0,24.0,2.682,2.682,348,349.0,50,44.0,0.044,20.0,0.0919999480247498,201
2013-12-06T00:00:00,100,1007.9,1002.57,1584069.1199999813,0.25,0.0,10.2,2.682,2.682,194,192.0,80,79.0,0.076,44.0,0.0309999994933605,122
2013-09-27T00:00:00,89,1003.9,999.9,3385244.1600000104,0.53,0.0,19.7,2.235,2.682,311,311.0,9,18.0,0.056,18.0,0.0539999976754189,63
